"country_id","country_name","continent","sub_region"
1,"Australia","Oceania","Australia and New Zealand"
2,"Austria","Europe","Western Europe"
3,"Bahrain","Asia","Western Asia"
4,"Belgium","Europe","Western Europe"
5,"Brazil","Americas","Latin America and the Caribbean"
6,"Canada","Americas","Northern America"
7,"Channel Islands",NULL,NULL
8,"Cyprus","Asia","Western Asia"
9,"Czech Republic","Europe","Eastern Europe"
10,"Denmark","Europe","Northern Europe"
11,"EIRE",NULL,NULL
12,"European Community",NULL,NULL
13,"Finland","Europe","Northern Europe"
14,"France","Europe","Western Europe"
15,"Germany","Europe","Western Europe"
16,"Greece","Europe","Southern Europe"
17,"Hong Kong","Asia","Eastern Asia"
18,"Iceland","Europe","Northern Europe"
19,"Israel","Asia","Western Asia"
20,"Italy","Europe","Southern Europe"
21,"Japan","Asia","Eastern Asia"
22,"Lebanon","Asia","Western Asia"
23,"Lithuania","Europe","Northern Europe"
24,"Malta","Europe","Southern Europe"
25,"Netherlands","Europe","Western Europe"
26,"Norway","Europe","Northern Europe"
27,"Poland","Europe","Eastern Europe"
28,"Portugal","Europe","Southern Europe"
29,"RSA",NULL,NULL
30,"Saudi Arabia","Asia","Western Asia"
31,"Singapore","Asia","South-eastern Asia"
32,"Spain","Europe","Southern Europe"
33,"Sweden","Europe","Northern Europe"
34,"Switzerland","Europe","Western Europe"
35,"United Arab Emirates","Asia","Western Asia"
36,"United Kingdom","Europe","Northern Europe"
37,"Unspecified",NULL,NULL
38,"USA",NULL,NULL
