"date_id","full_date","year","quarter","month","month_name","day","day_of_week","day_name"
20110817,"2011-08-17",2011,3,8,"August   ",17,3,"Wednesday"
20110821,"2011-08-21",2011,3,8,"August   ",21,0,"Sunday   "
20110609,"2011-06-09",2011,2,6,"June     ",9,4,"Thursday "
20110107,"2011-01-07",2011,1,1,"January  ",7,5,"Friday   "
20110202,"2011-02-02",2011,1,2,"February ",2,3,"Wednesday"
20110923,"2011-09-23",2011,3,9,"September",23,5,"Friday   "
20110627,"2011-06-27",2011,2,6,"June     ",27,1,"Monday   "
20111114,"2011-11-14",2011,4,11,"November ",14,1,"Monday   "
20110510,"2011-05-10",2011,2,5,"May      ",10,2,"Tuesday  "
20101217,"2010-12-17",2010,4,12,"December ",17,5,"Friday   "
20111020,"2011-10-20",2011,4,10,"October  ",20,4,"Thursday "
20110628,"2011-06-28",2011,2,6,"June     ",28,2,"Tuesday  "
20110221,"2011-02-21",2011,1,2,"February ",21,1,"Monday   "
20101213,"2010-12-13",2010,4,12,"December ",13,1,"Monday   "
20111028,"2011-10-28",2011,4,10,"October  ",28,5,"Friday   "
20111207,"2011-12-07",2011,4,12,"December ",7,3,"Wednesday"
20110110,"2011-01-10",2011,1,1,"January  ",10,1,"Monday   "
20110417,"2011-04-17",2011,2,4,"April    ",17,0,"Sunday   "
20110901,"2011-09-01",2011,3,9,"September",1,4,"Thursday "
20111009,"2011-10-09",2011,4,10,"October  ",9,0,"Sunday   "
20111109,"2011-11-09",2011,4,11,"November ",9,3,"Wednesday"
20111128,"2011-11-28",2011,4,11,"November ",28,1,"Monday   "
20110213,"2011-02-13",2011,1,2,"February ",13,0,"Sunday   "
20111026,"2011-10-26",2011,4,10,"October  ",26,3,"Wednesday"
20110722,"2011-07-22",2011,3,7,"July     ",22,5,"Friday   "
20110227,"2011-02-27",2011,1,2,"February ",27,0,"Sunday   "
20110413,"2011-04-13",2011,2,4,"April    ",13,3,"Wednesday"
20111010,"2011-10-10",2011,4,10,"October  ",10,1,"Monday   "
20111013,"2011-10-13",2011,4,10,"October  ",13,4,"Thursday "
20101206,"2010-12-06",2010,4,12,"December ",6,1,"Monday   "
20110911,"2011-09-11",2011,3,9,"September",11,0,"Sunday   "
20110624,"2011-06-24",2011,2,6,"June     ",24,5,"Friday   "
20101223,"2010-12-23",2010,4,12,"December ",23,4,"Thursday "
20110831,"2011-08-31",2011,3,8,"August   ",31,3,"Wednesday"
20110320,"2011-03-20",2011,1,3,"March    ",20,0,"Sunday   "
20110623,"2011-06-23",2011,2,6,"June     ",23,4,"Thursday "
20110526,"2011-05-26",2011,2,5,"May      ",26,4,"Thursday "
20110204,"2011-02-04",2011,1,2,"February ",4,5,"Friday   "
20111115,"2011-11-15",2011,4,11,"November ",15,2,"Tuesday  "
20110619,"2011-06-19",2011,2,6,"June     ",19,0,"Sunday   "
20110915,"2011-09-15",2011,3,9,"September",15,4,"Thursday "
20111208,"2011-12-08",2011,4,12,"December ",8,4,"Thursday "
20110330,"2011-03-30",2011,1,3,"March    ",30,3,"Wednesday"
20110804,"2011-08-04",2011,3,8,"August   ",4,4,"Thursday "
20110318,"2011-03-18",2011,1,3,"March    ",18,5,"Friday   "
20110710,"2011-07-10",2011,3,7,"July     ",10,0,"Sunday   "
20110217,"2011-02-17",2011,1,2,"February ",17,4,"Thursday "
20111118,"2011-11-18",2011,4,11,"November ",18,5,"Friday   "
20110113,"2011-01-13",2011,1,1,"January  ",13,4,"Thursday "
20111204,"2011-12-04",2011,4,12,"December ",4,0,"Sunday   "
20110308,"2011-03-08",2011,1,3,"March    ",8,2,"Tuesday  "
20110218,"2011-02-18",2011,1,2,"February ",18,5,"Friday   "
