"product_id","stockcode","description","category"
2287,"23456","MEDIUM PARLOUR PICTURE FRAME","Home Decor"
2851,"79336","LIGHT PINK FLOCK GLASS CANDLEHOLDER","Home Decor"
1559,"22685","FRENCH BLUE METAL DOOR SIGN 0","Home Decor"
1824,"22959","WRAP CHRISTMAS VILLAGE","Party & Celebration"
686,"21622","VINTAGE UNION JACK CUSHION COVER","Home Decor"
3181,"84865","NEW BAROQUE BLACK PHOTO ALBUM","Home Decor"
2082,"23228","FILIGREE HEART BIRD WHITE","Home Decor"
3270,"84984D","ORIENTAL RED CUSHION COVER","Home Decor"
3024,"84576","BLUE CAT BISCUIT BARREL PINK HEART","Kitchen & Dining"
3757,"90157","RIVIERA NECKLACE","Other"
838,"21829","DINOSAUR KEYRINGS ASSORTED","Other"
2554,"35971","ROSE FOLKART HEART DECORATIONS","Home Decor"
1438,"22559","SEASIDE FLYING DISC","Baby & Kids"
3918,"m","Manual","Other"
254,"20866","BLUE ROSE FABRIC MIRROR","Home Decor"
3298,"85017A","ENVELOPE 50 ROMANTIC IMAGES","Office & Stationery"
1127,"22216","T-LIGHT HOLDER WHITE LACE","Home Decor"
264,"20897","VINTAGE NOTEBOOK PARIS DAYS","Office & Stationery"
665,"21579","LOLITA  DESIGN  COTTON TOTE BAG","Bags & Travel"
3120,"84766","SILVER ROCOCO CANDLE STICK","Home Decor"
3588,"90031","BILI NUT AND WOOD NECKLACE","Other"
3475,"85183B","CHARLIE & LOLA WASTEPAPER BIN FLORA","Office & Stationery"
805,"21787","RAIN PONCHO RETROSPOT","Other"
1265,"22367","CHILDRENS APRON SPACEBOY DESIGN","Baby & Kids"
2799,"72815","3 WICK CHRISTMAS BRIAR CANDLE","Home Decor"
354,"21082","SET/20 FRUIT SALAD PAPER NAPKINS","Party & Celebration"
1483,"22605","WOODEN CROQUET GARDEN SET","Baby & Kids"
464,"21249","WOODLAND  HEIGHT CHART STICKERS","Baby & Kids"
1395,"22513","DOORSTOP FOOTBALL DESIGN","Home Decor"
2926,"84231","EASTER BUNNY WITH BASKET ON BACK","Other"
1855,"22990","COTTON APRON PANTRY DESIGN","Kitchen & Dining"
1819,"22953","BIRTHDAY PARTY CORDON BARRIER TAPE","Party & Celebration"
3095,"84708B","PINK JEWELLED PHOTO FRAME","Home Decor"
50,"16161M","WRAP  PINK FLOCK","Party & Celebration"
3880,"90214D","LETTER ""D"" BLING KEY RING","Other"
3759,"90159","COTE D'AZURE NECKLACE","Other"
1840,"22975","SPACEBOY CHILDRENS EGG CUP","Kitchen & Dining"
3074,"84665","SQUARE CHERRY BLOSSOM CABINET","Home Decor"
2996,"84534b","FAIRY CAKE NOTEBOOK A5 SIZE","Office & Stationery"
1337,"22449","SILK PURSE BABUSHKA PINK","Bags & Travel"
3428,"85132b","CHARLIE AND LOLA TABLE TINS","Kitchen & Dining"
689,"21625","VINTAGE UNION JACK APRON","Kitchen & Dining"
430,"21201","TROPICAL  HONEYCOMB PAPER GARLAND","Party & Celebration"
3830,"90190A","SILVER/CRYSTAL DROP EARRINGS W LEAF","Other"
2061,"23207","LUNCH BAG ALPHABET DESIGN","Bags & Travel"
257,"20869","GOLD FABRIC MIRROR","Home Decor"
937,"21985","PACK OF 12 HEARTS DESIGN TISSUES","Party & Celebration"
1471,"22593","CHRISTMAS GINGHAM STAR","Home Decor"
251,"20857","BLUE ROSE PATCH PURSE PINK BUTTERFL","Bags & Travel"
179,"20728","LUNCH BAG CARS BLUE","Bags & Travel"
1269,"22375","AIRLINE BAG VINTAGE JET SET BROWN","Bags & Travel"
2841,"79191B","RETRO PLASTIC POLKA TRAY","Home Decor"
1770,"22904","CALENDAR PAPER CUT DESIGN","Office & Stationery"
3625,"90055","CRACKED GLAZE EARRINGS BROWN","Other"
3716,"90129A","PINK GLASS TASSLE BAG CHARM","Bags & Travel"
1745,"22878","NUMBER TILE COTTAGE GARDEN No","Home Decor"
245,"20846","ZINC HEART LATTICE T-LIGHT HOLDER","Home Decor"
986,"22065","CHRISTMAS PUDDING TRINKET POT","Home Decor"
3658,"90078","PINK/WHITE GLASS DEMI CHOKER","Other"
965,"22041","RECORD FRAME 7"" SINGLE SIZE","Music & Entertainment"
1123,"22211","WOOD STAMP SET FLOWERS","Office & Stationery"
